flags,instruction,category,intent,response
B,I need help creating an account,ACCOUNT,create_account,"To create an account, go to our homepage and click 'Sign Up' in the top right corner. Enter your email address, choose a password, and verify your email through the confirmation link we send you. The whole process takes less than two minutes."
B,how do i delete my account,ACCOUNT,delete_account,"To delete your account, go to Settings > Account > Delete Account. You'll be asked to confirm via email. Please note this action is permanent and all your order history and saved data will be erased after 30 days."
B,I want to edit my account information,ACCOUNT,edit_account,"You can edit your account information by navigating to Settings > Profile. From there you can update your name, email, phone number, and shipping addresses. Changes to your email will require re-verification."
B,can I switch to a business account,ACCOUNT,switch_account,"Yes, you can switch to a business account from Settings > Account Type > Upgrade to Business. This unlocks bulk ordering, invoicing, and dedicated support, and takes effect immediately after you submit your business details."
B,I want to cancel my order,ORDER,cancel_order,"To cancel an order, go to Orders > select the order > Cancel Order. Orders can only be cancelled before they enter the 'Shipped' status. If it has already shipped, please use our return process instead."
B,how do I change my order,ORDER,change_order,"To change an order, visit Orders > select the order > Edit Order. You can change quantity, size, or color as long as the order hasn't been processed for shipping yet. Processed orders cannot be modified."
B,I need to update my shipping address for an order,ORDER,change_shipping_address,"You can update your shipping address by going to Orders > select the order > Edit Shipping Address. This is only possible if the order status is still 'Processing'. Once shipped, address changes are not possible."
B,where can I check my invoice,ORDER,check_invoice,"You can find your invoice under Orders > select the order > View Invoice. Invoices are also automatically emailed to you at the time of purchase and are available as PDF downloads."
B,what is your refund policy,ORDER,check_refund_policy,"Our refund policy allows returns within 30 days of delivery for a full refund, provided the item is unused and in original packaging. Refunds are processed within 5-7 business days after we receive the returned item."
B,I have a complaint about my order,ORDER,complaint,"We're sorry to hear about the issue with your order. Please describe the problem in detail through our Contact Support form, and a support specialist will follow up within 24 hours to resolve it."
B,what delivery options do you have,DELIVERY,delivery_options,"We offer three delivery options: Standard (5-7 business days, free over $50), Express (2-3 business days, $9.99), and Overnight (next business day, $19.99). All options include tracking."
B,how long will delivery take,DELIVERY,delivery_period,"Standard delivery typically takes 5-7 business days from the ship date. Express delivery takes 2-3 business days. You can check the exact estimate for your order under Orders > Track Package."
B,can I get an invoice for my purchase,INVOICE,get_invoice,"Yes, invoices are generated automatically for every purchase and sent to your registered email. You can also download them anytime from Orders > View Invoice > Download PDF."
B,how do I get a refund,REFUND,get_refund,"To request a refund, go to Orders > select the item > Request Refund, and choose your reason. Once approved, refunds are issued to your original payment method within 5-7 business days."
B,my refund status is pending,REFUND,track_refund,"Your refund is likely still being processed by our finance team, which typically takes 5-7 business days after we receive the returned item. You can track its status under Orders > Refund Status."
B,I want to leave feedback,FEEDBACK,complaint,"We welcome all feedback. You can submit it through the Contact Support form or reply to your order confirmation email. Our team reviews every submission and uses it to improve our service."
B,do you offer newsletter subscription,NEWSLETTER,newsletter_subscription,"Yes! You can subscribe to our newsletter at the bottom of our homepage, or from Settings > Communication Preferences > Subscribe to Newsletter. You can unsubscribe anytime with one click."
B,how do I unsubscribe from the newsletter,NEWSLETTER,newsletter_subscription,"To unsubscribe, click the 'Unsubscribe' link at the bottom of any newsletter email, or go to Settings > Communication Preferences and toggle off Newsletter Subscription."
B,I want to make a complaint about customer service,CONTACT,complaint,"We're sorry your experience wasn't satisfactory. Please share the details via our Contact Support form, including any order numbers, and a supervisor will review and respond within 48 hours."
B,how can I contact customer support,CONTACT,contact_customer_service,"You can reach customer support via live chat (available 9am-9pm EST), email at support@example.com, or by phone at 1-800-555-0199. Average response time is under 2 hours during business hours."
B,do you have a human agent option,CONTACT,contact_human_agent,"Yes, you can request a human agent anytime during a chat session by typing 'talk to a human', or by calling our support line directly at 1-800-555-0199 during business hours."
B,how do I set up two factor authentication,ACCOUNT,edit_account,"To enable two-factor authentication, go to Settings > Security > Two-Factor Authentication and follow the prompts to link your phone number or an authenticator app. This adds an extra layer of protection to your account."
B,I forgot my password,ACCOUNT,recover_password,"Click 'Forgot Password' on the login page and enter your registered email. You'll receive a password reset link valid for 30 minutes. If you don't see the email, check your spam folder."
B,can I use multiple payment methods for one order,PAYMENT,payment_issue,"Currently we support only one payment method per order. However, you can use store credit or gift cards in combination with a single credit/debit card at checkout."
B,my payment failed,PAYMENT,payment_issue,"If your payment failed, please check that your card details and billing address are correct and that your card has sufficient funds. If the issue persists, try an alternate payment method or contact your bank."
B,do you ship internationally,DELIVERY,delivery_options,"Yes, we ship to over 40 countries internationally. International delivery typically takes 10-15 business days and customs fees may apply depending on your country's import regulations."
